movieId,movie_encoded,title
781,692,Stealing Beauty (1996)
574,539,Spanking the Monkey (1994)
1088,945,Dirty Dancing (1987)
2706,2307,American Pie (1999)
275079,17051,Chip 'n Dale: Rescue Rangers (2022)
1079,936,"Fish Called Wanda, A (1988)"
69526,9286,Transformers: Revenge of the Fallen (2009)
2762,2357,"Sixth Sense, The (1999)"
7451,5967,Mean Girls (2004)
1210,1046,Star Wars: Episode VI - Return of the Jedi (1983)
30793,7196,Charlie and the Chocolate Factory (2005)
7024,5667,"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976)"
68157,9195,Inglourious Basterds (2009)
48516,8085,"Departed, The (2006)"
55247,8492,Into the Wild (2007)
784,695,"Cable Guy, The (1996)"
1721,1467,Titanic (1997)
1378,1201,Young Guns (1988)
53887,8391,O Lucky Man! (1973)
174055,14565,Dunkirk (2017)
91500,10553,The Hunger Games (2012)
8947,6569,"Grudge, The (2004)"
267,252,Major Payne (1995)
912,788,Casablanca (1942)
4329,3667,Rio Bravo (1959)
122896,12197,Pirates of the Caribbean: Dead Men Tell No Tales (2017)
115617,11864,Big Hero 6 (2014)
165,153,Die Hard: With a Vengeance (1995)
110,105,Braveheart (1995)
1,0,Toy Story (1995)
4014,3410,Chocolat (2000)
595,553,Beauty and the Beast (1991)
4292,3639,Norma Rae (1979)
1408,1226,"Last of the Mohicans, The (1992)"
805,712,"Time to Kill, A (1996)"
380,359,True Lies (1994)
2722,2322,Deep Blue Sea (1999)
120130,12090,Into the Forest of Fireflies' Light (2011)
153,141,Batman Forever (1995)
8780,6459,"Assassination Bureau, The (1969)"
1407,1225,Scream (1996)
76093,9678,How to Train Your Dragon (2010)
507,477,"Perfect World, A (1993)"
142507,13120,Pawn Sacrifice (2015)
1272,1106,Patton (1970)
4571,3870,Bill & Ted's Excellent Adventure (1989)
4085,3468,Beverly Hills Cop (1984)
176,164,Living in Oblivion (1995)
177765,14760,Coco (2017)
1307,1140,When Harry Met Sally... (1989)
2194,1869,"Untouchables, The (1987)"
34048,7500,War of the Worlds (2005)
81768,10010,"Man Who Could Work Miracles, The (1936)"
49530,8153,Blood Diamond (2006)
1078,935,Bananas (1971)
991,862,Michael Collins (1996)
1297,1130,Real Genius (1985)
33004,7411,"Hitchhiker's Guide to the Galaxy, The (2005)"
6001,4942,"King of Comedy, The (1983)"
3527,3009,Predator (1987)
34530,7538,Deuce Bigalow: European Gigolo (2005)
263009,16900,The Matrix Resurrections (2021)
79702,9865,Scott Pilgrim vs. the World (2010)
4488,3801,Colors (1988)
3895,3309,"Watcher, The (2000)"
7160,5776,Monster (2003)
4995,4210,"Beautiful Mind, A (2001)"
1393,1214,Jerry Maguire (1996)
410,383,Addams Family Values (1993)
3098,2657,"Natural, The (1984)"
190949,15349,Sierra Burgess Is a Loser (2018)
282,267,Nell (1994)
4288,3635,Pola X (1999)
197,184,"Stars Fell on Henrietta, The (1995)"
1085,942,"Old Man and the Sea, The (1958)"
25,24,Leaving Las Vegas (1995)
1954,1644,Rocky (1976)
54286,8428,"Bourne Ultimatum, The (2007)"
7361,5918,Eternal Sunshine of the Spotless Mind (2004)
6539,5318,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
2421,2063,"Karate Kid, Part II, The (1986)"
64614,9044,Gran Torino (2008)
6291,5145,Lilya 4-Ever (Lilja 4-ever) (2002)
1358,1185,Sling Blade (1996)
19,18,Ace Ventura: When Nature Calls (1995)
3826,3253,Hollow Man (2000)
1219,1055,Psycho (1960)
5500,4590,Top Secret! (1984)
4406,3733,"Man Who Shot Liberty Valance, The (1962)"
849,742,Escape from L.A. (1996)
31696,7288,Constantine (2005)
2501,2133,October Sky (1999)
4878,4123,Donnie Darko (2001)
110675,11614,In Your Eyes (2014)
2908,2490,Boys Don't Cry (1999)
2431,2072,Patch Adams (1998)
4816,4074,Zoolander (2001)
2672,2282,"Thirteenth Floor, The (1999)"
209917,16125,Bombshell (2019)
2311,1958,2010: The Year We Make Contact (1984)
318,299,"Shawshank Redemption, The (1994)"
2997,2570,Being John Malkovich (1999)
116797,11933,The Imitation Game (2014)
440,411,Dave (1993)
1488,1288,"Devil's Own, The (1997)"
87869,10318,Horrible Bosses (2011)
2081,1766,"Little Mermaid, The (1989)"
117863,12003,Ragamuffin (2014)
54997,8465,3:10 to Yuma (2007)
7323,5892,"Good bye, Lenin! (2003)"
51935,8286,Shooter (2007)
3267,2799,"Mariachi, El (1992)"
1801,1519,"Man in the Iron Mask, The (1998)"
3969,3368,Pay It Forward (2000)
6155,5042,How to Lose a Guy in 10 Days (2003)
3863,3282,"Cell, The (2000)"
475,446,In the Name of the Father (1993)
84152,10132,Limitless (2011)
44,43,Mortal Kombat (1995)
60,58,"Indian in the Cupboard, The (1995)"
608,563,Fargo (1996)
1028,894,Mary Poppins (1964)
1148,994,Wallace & Gromit: The Wrong Trousers (1993)
2959,2535,Fight Club (1999)
7285,5865,Thirteen (2003)
8609,6371,Our Hospitality (1923)
60069,8808,WALL·E (2008)
3160,2713,Magnolia (1999)
4489,3802,Coming to America (1988)
420,392,Beverly Hills Cop III (1994)
508,478,Philadelphia (1993)
7,6,Sabrina (1995)
6934,5589,"Matrix Revolutions, The (2003)"
480,451,Jurassic Park (1993)
168252,14232,Logan (2017)
492,463,Manhattan Murder Mystery (1993)
2078,1764,"Jungle Book, The (1967)"
114060,11790,The Drop (2014)
3947,3348,Get Carter (1971)
44694,7868,Volver (2006)
177939,14771,"The Night Is Short, Walk on Girl (2017)"
256,241,Junior (1994)
8340,6262,Escape from Alcatraz (1979)
1086,943,Dial M for Murder (1954)
4318,3658,Postcards From the Edge (1990)
593,551,"Silence of the Lambs, The (1991)"
1690,1448,Alien: Resurrection (1997)
